scenario_id,iteration,network,source,destination,transmitter_type,modulation,baud_rate_gbaud,bit_rate_gbps,launch_power_dbm,channel_pattern,channel_number,frequency_thz,channel_power_dbm,osnr_signal_bw_db,snr_nli_signal_bw_db,gsnr_signal_bw_db
iter-1-scenario-2,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,001,3.0,194.075,0.79,31.47,27.95,26.36
iter-2-scenario-4,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,001,3.0,194.075,0.79,31.47,27.95,26.36
iter-2-scenario-5,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,001,3.0,194.075,1.29,31.7,26.95,25.7
iter-2-scenario-6,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,001,3.0,194.075,1.79,31.91,25.95,24.97
iter-1-scenario-3,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,010,2.0,194.0375,0.79,31.47,27.96,26.36
iter-2-scenario-7,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,010,2.0,194.0375,0.79,31.47,27.96,26.36
iter-2-scenario-8,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,010,2.0,194.0375,1.29,31.7,26.96,25.7
iter-2-scenario-9,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,010,2.0,194.0375,1.79,31.91,25.96,24.97
iter-1-scenario-4,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,011,2.0,194.0375,0.79,31.47,25.94,24.87
iter-1-scenario-4,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,011,3.0,194.075,0.79,31.47,25.93,24.86
iter-2-scenario-10,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,011,2.0,194.0375,0.79,31.47,25.94,24.87
iter-2-scenario-10,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,011,3.0,194.075,0.79,31.47,25.93,24.86
iter-2-scenario-11,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,011,2.0,194.0375,1.29,31.7,24.94,24.11
iter-2-scenario-11,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,011,3.0,194.075,1.29,31.7,24.93,24.1
iter-2-scenario-12,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,011,2.0,194.0375,1.79,31.91,23.94,23.29
iter-2-scenario-12,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,011,3.0,194.075,1.79,31.91,23.93,23.29
iter-1-scenario-5,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,100,1.0,194.0,0.79,31.47,27.96,26.36
iter-2-scenario-13,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,100,1.0,194.0,0.79,31.47,27.96,26.36
iter-2-scenario-14,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,100,1.0,194.0,1.29,31.7,26.96,25.7
iter-2-scenario-15,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,100,1.0,194.0,1.79,31.91,25.96,24.98
iter-1-scenario-6,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,101,1.0,194.0,0.79,31.47,26.86,25.57
iter-1-scenario-6,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,101,3.0,194.075,0.79,31.47,26.85,25.57
