scenario_id,iteration,network,source,destination,transmitter_type,modulation,baud_rate_gbaud,bit_rate_gbps,launch_power_dbm,channel_pattern,channel_number,frequency_thz,channel_power_dbm,osnr_signal_bw_db,snr_nli_signal_bw_db,gsnr_signal_bw_db
iter-1-scenario-8,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000111,8.0,194.2625,0.79,31.47,25.19,24.27
iter-2-scenario-22,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000111,6.0,194.1875,0.79,31.47,25.2,24.28
iter-2-scenario-22,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000111,7.0,194.225,0.79,31.47,24.54,23.74
iter-2-scenario-22,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000111,8.0,194.2625,0.79,31.47,25.19,24.27
iter-2-scenario-23,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00000111,6.0,194.1875,1.29,31.69,24.2,23.49
iter-2-scenario-23,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00000111,7.0,194.225,1.29,31.69,23.54,22.92
iter-2-scenario-23,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00000111,8.0,194.2625,1.29,31.69,24.19,23.48
iter-2-scenario-24,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00000111,6.0,194.1875,1.79,31.9,23.2,22.65
iter-2-scenario-24,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00000111,7.0,194.225,1.79,31.9,22.54,22.07
iter-2-scenario-24,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00000111,8.0,194.2625,1.79,31.9,23.19,22.64
iter-1-scenario-9,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001000,5.0,194.15,0.79,31.47,27.94,26.35
iter-2-scenario-25,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001000,5.0,194.15,0.79,31.47,27.94,26.35
iter-2-scenario-26,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001000,5.0,194.15,1.29,31.7,26.94,25.69
iter-2-scenario-27,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001000,5.0,194.15,1.79,31.9,25.94,24.96
iter-1-scenario-10,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001001,5.0,194.15,0.79,31.47,27.19,25.81
iter-1-scenario-10,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001001,8.0,194.2625,0.79,31.47,27.17,25.8
iter-2-scenario-28,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001001,5.0,194.15,0.79,31.47,27.19,25.81
iter-2-scenario-28,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001001,8.0,194.2625,0.79,31.47,27.17,25.8
iter-2-scenario-29,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001001,5.0,194.15,1.29,31.7,26.19,25.11
iter-2-scenario-29,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001001,8.0,194.2625,1.29,31.69,26.17,25.1
iter-2-scenario-30,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001001,5.0,194.15,1.79,31.9,25.19,24.35
iter-2-scenario-30,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001001,8.0,194.2625,1.79,31.9,25.17,24.34
iter-1-scenario-11,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001010,5.0,194.15,0.79,31.47,26.85,25.56
iter-1-scenario-11,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001010,7.0,194.225,0.79,31.47,26.84,25.55
iter-2-scenario-31,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001010,5.0,194.15,0.79,31.47,26.85,25.56
iter-2-scenario-31,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001010,7.0,194.225,0.79,31.47,26.84,25.55
iter-2-scenario-32,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001010,5.0,194.15,1.29,31.7,25.85,24.84
iter-2-scenario-32,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001010,7.0,194.225,1.29,31.69,25.84,24.84
iter-2-scenario-33,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001010,5.0,194.15,1.79,31.9,24.85,24.07
iter-2-scenario-33,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001010,7.0,194.225,1.79,31.9,24.84,24.06
iter-1-scenario-12,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001011,5.0,194.15,0.79,31.47,26.25,25.11
iter-1-scenario-12,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001011,7.0,194.225,0.79,31.47,25.2,24.28
iter-1-scenario-12,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001011,8.0,194.2625,0.79,31.47,25.42,24.46
iter-2-scenario-34,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001011,5.0,194.15,0.79,31.47,26.25,25.11
iter-2-scenario-34,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001011,7.0,194.225,0.79,31.47,25.2,24.28
iter-2-scenario-34,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001011,8.0,194.2625,0.79,31.47,25.42,24.46
iter-2-scenario-35,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001011,5.0,194.15,1.29,31.7,25.25,24.36
iter-2-scenario-35,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001011,7.0,194.225,1.29,31.69,24.2,23.48
iter-2-scenario-35,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001011,8.0,194.2625,1.29,31.69,24.42,23.68
iter-2-scenario-36,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001011,5.0,194.15,1.79,31.9,24.25,23.56
